amount,amount_minor_units,currency_code,idempotency_key,merchant_id,parent_transaction_id,status,timestamp,transaction_id
199.99,19999,INR,idk_8c9b7a4f1e22,MERCHANT_300,,success,2026-05-21T08:30:00+00:00,4f3a1c6b-2d5f-4a9b-bd73-2f3e7a1c2d5b
678.00,67800,INR,idk_5a7c8e2d3f44,MERCHANT_117,,success,2026-05-11T10:15:00+00:00,8c9e1b3f-4d72-41a8-bcb0-5f2a3d7c8e9f
403.23,40323,INR,idk_3b9d1a5f7c66,MERCHANT_182,,success,2026-05-18T12:45:00+00:00,3d4e5f6a-7b8c-4d9e-a1b2-3c4d5e6f7a8b
55.50,5550,INR,idk_1c2d3e4f5a77,MERCHANT_237,,success,2026-05-23T09:05:00+00:00,7a8b9c0d-1e2f-3a4b-5c6d-7e8f9a0b1c2d
1024.00,102400,INR,idk_6d7e8f9a0b88,MERCHANT_109,,success,2026-05-25T11:00:00+00:00,1c2d3e4f-5a6b-7c8d-9e0f-1a2b3c4d5e6f
820.33,82033,INR,idk_0e1f2a3b4c99,MERCHANT_288,,success,2026-05-20T07:20:00+00:00,2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e
414.14,41414,INR,idk_7e8f9a0b1c00,MERCHANT_406,,success,2026-05-27T13:22:00+00:00,3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f
999.99,99999,INR,idk_2f3a4b5c6d11,MERCHANT_257,,success,2026-05-26T08:50:00+00:00,4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a
710.20,71020,INR,idk_4a5b6c7d8e22,MERCHANT_083,,success,2026-05-19T14:40:00+00:00,5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9a0b
123.45,12345,INR,idk_1b2c3d4e5f33,MERCHANT_124,,success,2026-05-24T16:12:00+00:00,6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c
