batch_id,fee_amount,idempotency_key,net_settled_amount_minor_units,processing_date,settled_amount,settlement_id,settlement_status,transaction_reference,value_date
BATCH_202605_001,2.57,idk_6f00cd195fea,85422,2026-05-26T08:14:00+00:00,856.79,c31f37fe-5061-480c-9195-90a1ceb4567b,settled,5f9b8ac1-b077-4c39-8f32-58bf21447f5c,2026-05-26T08:14:00+00:00
BATCH_202605_041,697.09,idk_9f668e290e3b,23166713,2026-05-26T11:05:00+00:00,232364.22,9c7f5a1a-32a5-4c3b-b8c7-b8de9cda3fcd,settled,7e491e50-72e6-4400-9c67-0cbff16de172,2026-05-26T11:05:00+00:00
BATCH_202605_002,0.78,idk_1be5911ce134,25764,2026-05-19T11:05:00+00:00,258.42,1a480f09-1136-4e76-842b-47290ebb32f1,settled,46dc2660-2c65-4dba-a3b9-c49ca0eaa77d,2026-05-19T11:05:00+00:00
BATCH_202605_049,2.61,idk_b428dd5ded06,86713,2026-05-31T04:12:00+00:00,869.74,cb2cdd7e-6568-4422-9cea-fc05d675c323,settled,76ad12f1-0134-499f-8874-a235358bfd9f,2026-05-31T04:12:00+00:00
BATCH_202605_014,0.33,idk_2a576840ebda,11018,2026-05-19T08:40:00+00:00,110.51,d4710a42-9d41-4ba6-b321-8610b458e423,settled,d731ec1a-0a74-44d2-b766-f25dbd4d4417,2026-05-19T08:40:00+00:00
BATCH_202605_029,911.65,idk_ed049d67e90f,30297282,2026-05-12T08:48:00+00:00,303884.47,00ae7782-f0ca-4ed7-9479-f87a9cab5a43,settled,4174ef13-3a50-4fdc-a6b1-6ec7ac775d37,2026-05-12T08:48:00+00:00
BATCH_202605_004,0.85,idk_88fba962bd20,28168,2026-05-20T10:21:00+00:00,282.53,9f8ed329-615a-435f-8dda-0e15cca869b5,settled,f000cb28-ff7e-405a-8f21-650813c40551,2026-05-20T10:21:00+00:00
BATCH_202605_037,0.69,idk_70f109fd1a7a,23014,2026-05-18T10:15:00+00:00,230.83,88af8644-aa9a-499c-91d4-e31131016531,settled,38ccbc3e-289f-45a2-bd08-6c58dd454328,2026-05-18T10:15:00+00:00
BATCH_202605_047,11.41,idk_2fe525fd426a,379241,2026-05-05T03:34:00+00:00,3803.82,6ba25c54-169c-45cd-9f01-cc4643043097,settled,686436b5-be00-48fe-b0d2-347fcf740f31,2026-05-05T03:34:00+00:00
BATCH_202605_060,1.25,idk_5a6b7c8d9e00,124875,2026-05-16T11:20:00+00:00,1248.75,7f1a2b3c-4d5e-6f7a-8b9c-0d1e2f3a4b5c,settled,2d5f6a7b-8c9d-0e1f-2a3b-4c5d6e7f8a9b,2026-05-16T11:20:00+00:00
