amount,amount_minor_units,currency_code,idempotency_key,merchant_id,parent_transaction_id,status,timestamp,transaction_id
203.45,20345,INR,idk_6fff8a2d3316,MERCHANT_115,,success,2026-05-05T04:50:00+00:00,cb382729-fbbc-48f8-86cd-888ad9aec8af
503.79,50379,INR,idk_33bcd7f07584,MERCHANT_102,,success,2026-05-23T12:41:00+00:00,923285d5-fbfd-4199-a394-d3a2aa15f7c6
20433.59,2043359,INR,idk_b4a527c349f7,MERCHANT_080,,success,2026-05-07T08:13:00+00:00,0fdb777a-49a0-40b2-bf81-2bf1cbda04b2
2378.45,237845,INR,idk_7bbcbe212e15,MERCHANT_275,,success,2026-05-04T04:42:00+00:00,4c3b3e55-5595-450f-bc37-8721119119bd
671.05,67105,INR,idk_b0d0ea708b6c,MERCHANT_117,,success,2026-05-25T05:01:00+00:00,7f4f39d4-f8a7-4697-9963-d707197f6450
864.56,86456,INR,idk_37533a0f5b7d,MERCHANT_182,,success,2026-05-07T08:51:00+00:00,f3c53f5e-1db7-44d4-9123-5b8796a90285
532.0,53200,INR,idk_bc1bab51e15e,MERCHANT_237,,success,2026-05-13T06:51:00+00:00,9fad941b-cb8a-4a4f-9b0c-35d69025eb7d
11572.57,1157257,INR,idk_7bbce06d121e,MERCHANT_109,,success,2026-05-30T08:20:00+00:00,4eb3bdac-e973-4aeb-b056-bcbfe7865b16
325.8,32580,INR,idk_f670d90b41ef,MERCHANT_288,,success,2026-05-18T06:44:00+00:00,6cef1344-d0ad-4bd4-bc88-bce2f23fd3bd
118.7,11870,INR,idk_a4ebea00db56,MERCHANT_406,,success,2026-05-22T10:11:00+00:00,c2804a4a-8521-4f6d-ba3b-29446997d7c8
