amount,amount_minor_units,currency_code,idempotency_key,merchant_id,parent_transaction_id,status,timestamp,transaction_id
650.12,65012,INR,idk_4b3d9a8c2f11,MERCHANT_220,,success,2026-05-17T11:30:00+00:00,5ca4c094-48ff-4ceb-888e-45f4fb04b2a1
920.30,92030,INR,idk_5b1f7c3d9a45,MERCHANT_115,,success,2026-05-09T09:20:00+00:00,5154cecd-5a0f-4f68-84d7-15231c2e0bc2
145.00,14500,INR,idk_7bb1e4f57932,MERCHANT_182,,success,2026-05-20T14:52:00+00:00,1587da16-cff3-4aed-9844-311a5f408a5c
1034.90,103490,INR,idk_2ee0f3b6a4c1,MERCHANT_237,,success,2026-05-06T07:40:00+00:00,7ccb68b5-a9f5-4d8d-8d5a-3f8d9f0b9c1e
499.99,49999,INR,idk_1aac7e9f3b20,MERCHANT_109,,success,2026-05-15T06:00:00+00:00,9a5c1d94-3dae-4b84-a8d7-29b7f4cda9f1
11.50,1150,INR,idk_8b9d7c1e2f03,MERCHANT_288,,success,2026-05-22T10:05:00+00:00,c7ea8b5f-616f-4278-8555-bc07ea9c9e73
224.81,22481,INR,idk_6c3b1af9d7e2,MERCHANT_406,,success,2026-05-26T12:20:00+00:00,3e9bc9a8-2b27-4933-b82f-3e5cbf8f9c62
785.20,78520,INR,idk_0d313af8c5b7,MERCHANT_257,,success,2026-05-16T09:55:00+00:00,28b3d8e7-1f34-4d7a-a2f1-5c3e7a09e6d1
334.77,33477,INR,idk_4e7c2a9d1b05,MERCHANT_083,,success,2026-05-19T13:21:00+00:00,91a5d0e3-4c75-4d2b-bb8c-9b1e6f4c8d7a
568.22,56822,INR,idk_2a5e8f7d1b09,MERCHANT_124,,success,2026-05-27T08:40:00+00:00,2d8e7f6b-04c5-4c8f-919a-e8f7d1b2c3a4
